Rowid,Number_of_axles,Tollplaza_id,Tollplaza_code
110,2,4231,PC016D687
111,2,4643,PC6713209
112,2,4121,PCEC57A8E
113,2,4400,PC3BD7D63
114,2,4119,PC9EBEDB5
115,4,4695,PC4A5D62F
116,2,4495,PC210A754
117,4,4434,PCA491459
118,2,4299,PCAD3B9BC
119,2,4023,PC77793DF
120,4,4365,PC0F226DF
121,2,4582,PC98750ED
122,2,4119,PC9EBEDB5
123,2,4416,PC546F252
124,2,4898,PC0AE9E1B
125,4,4698,PC8BCEB19
126,2,4416,PC546F252
127,2,4993,PC0F0AB4E
128,4,4356,PCF1979AE
129,2,4504,PC461DCD3
130,2,4811,PCBF83C7A
131,2,4574,PCC1F6F13
132,2,4116,PCCA836C9
133,2,4049,PC4779D38
134,2,4435,PC3E78C17
135,2,4272,PC09BDC08
136,2,4929,PC9E503B6
137,2,4531,PC857F4A0
138,2,4222,PC15EC378
139,2,4657,PCC591410
140,4,4481,PC30AAE76
141,4,4145,PC5FBE4B8
142,4,4813,PCACF7982
143,2,4585,PCF3AE602
144,2,4924,PCE3427C5
145,4,4584,PC1085B78
146,2,4225,PCC1ED0C5
147,2,4719,PCBD66B01
148,2,4830,PC12EEFE0
149,2,4073,PCA3797CA
150,4,4954,PCA276EBB
151,2,4732,PCD83DE25
152,2,4155,PC9042B3F
153,2,4142,PC7ACFF7C
154,2,4737,PCED7EAFE
155,2,4337,PCCF6A454
156,4,4507,PC11DCA73
157,4,4092,PC40C2E00
158,2,4269,PCC7106FF
159,2,4610,PCA4D3E9B
160,2,4980,PCBD5C822
161,2,4295,PCD483999
162,2,4412,PC821BC98
163,2,4364,PCB33ACE8
164,4,4290,PC84E8CEF
165,2,4264,PC9DFEBB0
166,4,4412,PC821BC98
167,4,4712,PC94168A2
168,4,4603,PC485BE5B
169,4,4180,PC250A90D
170,2,4592,PC627AA14
171,4,4008,PC5680D80
172,2,4083,PC90346C9
173,2,4573,PC4D8469D
174,2,4642,PC17D596F
175,2,4693,PCB4CDDA5
176,4,4787,PC1BDA119
177,2,4989,PC7D7AE48
178,4,4803,PC2BBEEDC
179,2,4848,PCF0FC9B2
180,2,4377,PC4AC8EAD
181,2,4947,PCE4A44BE
182,2,4439,PC845CEA6
183,2,4346,PCA35B156
184,2,4718,PC81E83B9
185,4,4049,PC4779D38
186,2,4579,PC926F0A9
187,2,4985,PCCA71D2C
188,4,4356,PCF1979AE
189,2,4631,PCFFF6463
190,2,4898,PC0AE9E1B
191,2,4022,PCF135377
192,2,4586,PC4A40D50
193,2,4733,PC797AEBF
194,4,4764,PCF6B0D12
195,2,4466,PC6E93A05
196,2,4158,PCAA68777
197,4,4111,PC07F012A
198,4,4591,PCC9875AC
199,2,4015,PC524833E
200,2,4420,PCFDB2950
201,4,4924,PCE3427C5
202,2,4501,PC5D41947
203,2,4026,PC2CE9851
204,2,4280,PC03A5F23
205,2,4953,PC1E2B07E
206,2,4923,PC8A7A22A
207,2,4283,PC953B572
208,4,4899,PC4967767
209,4,4560,PC5030572
210,2,4037,PC0A50259
211,2,4610,PCA4D3E9B
212,2,4775,PCA50FB36
213,4,4414,PC40BD0F3
214,2,4915,PC86B0D7B
215,2,4618,PC8F4AF85
216,2,4909,PCDED6F20
217,2,4497,PC76FDDEA
218,2,4401,PC0606D6A
219,2,4284,PC0DB49FD
220,2,4235,PCFB11406
221,4,4482,PCB6A16D7
222,2,4981,PC6B14C5D
223,2,4175,PC08EA270
224,2,4188,PCDB12C82
225,2,4015,PC524833E
226,4,4230,PC19CE0DB
227,2,4686,PCD6E5E77
228,2,4123,PCDE850D8
229,4,4283,PC953B572
230,2,4016,PCCD7399B
231,4,4504,PC461DCD3
232,2,4377,PC4AC8EAD
233,4,4971,PC0BD172F
234,2,4031,PC0214185
235,4,4965,PCA0BAE0F
236,2,4350,PCEDD7E85
237,2,4232,PC4156AD5
238,2,4592,PC627AA14
239,2,4760,PC161AC8D
240,4,5002,PC585BD38
241,2,4974,PCDEB8E32
242,2,4361,PC2E0C888
243,2,4946,PCCF18BAF
244,2,4314,PC7E9E8F3
245,2,4784,PCDB42B34
246,4,4611,PC2EBEAB9
247,2,4515,PC6A1B37B
248,2,4531,PC857F4A0
249,2,4070,PCEECA8B2
250,2,4891,PC57036DA
251,2,4325,PC8FC83B3
252,2,4672,PC03AE86F
253,2,4147,PC4D2C5A7
254,4,4049,PC4779D38
255,2,4748,PCF2ECD29
256,2,4654,PCBA5D8AB
257,2,4890,PCAFC8A56
258,2,4972,PCC51AD39
259,2,4709,PCC8C7059
260,2,4788,PC00AE965
261,4,4306,PC5D6563A
262,2,4436,PC0CF9451
263,2,4039,PC73BE1E2
264,4,4612,PC871C1FC
265,2,4686,PCD6E5E77
266,2,4314,PC7E9E8F3
267,2,4608,PCACD1BEE
268,4,4063,PC7667A3E
269,2,4944,PC41EEC34
270,4,4246,PC95F5F6B
271,2,4438,PC665A28E
272,2,4234,PC5EBC1E1
273,2,4050,PC822E359
274,2,4721,PCE937423
275,2,4130,PC9F22103
276,2,4852,PC68969FB
277,4,4575,PC84D9FC1
278,2,4326,PC356AE8F
279,2,4694,PCBCF42C2
280,2,4551,PCCA5979C
281,2,4775,PCA50FB36
282,4,4146,PCF91266E
283,2,4042,PC5D4DE09
284,2,4904,PC36C6441
285,4,4556,PC18C31F6
286,2,4812,PC22D9C6D
287,2,4742,PC05B8749
288,2,4788,PC00AE965
289,2,4830,PC12EEFE0
290,2,4218,PC8DF4919
291,2,4754,PC99AE725
292,2,4960,PC6A1BCA4
293,2,4090,PC1EE951B
294,2,4804,PC68484C6
295,2,4617,PC7758F89
296,2,4150,PCC8441A8
297,2,4086,PC23E470D
298,2,4730,PC7DC0964
299,4,4925,PCE5E04A2
300,2,4629,PCC5E1C04
301,4,4286,PC12BE494
302,4,4617,PC7758F89
303,2,4556,PC18C31F6
304,4,4183,PCF5E7754
305,2,4089,PC3CCA187
306,2,4230,PC19CE0DB
307,2,4615,PC1ECBA39
308,2,4720,PCDD23528
309,2,4905,PCE1EA438
310,2,4758,PCCE12794
311,4,5000,PCFE7F7FE
312,2,4360,PC084F676
313,4,4746,PC0514825
314,2,4781,PC0D83A1E
315,2,4706,PCD8D5094
316,2,4678,PCD175301
317,2,4125,PC8AAEF51
318,4,4229,PCD0DDD3D
319,2,4100,PCC6DD8D5
320,2,4812,PC22D9C6D
321,2,4574,PCC1F6F13
322,2,4902,PC425C6EC
323,4,4938,PC6C57ED3
324,2,4479,PCCA36E4D
325,2,4191,PCCC28F87
326,2,4278,PC4847214
327,4,4025,PC5ABB8E4
328,4,4700,PC14E538A
329,2,4145,PC5FBE4B8
330,4,4894,PCDADB8C6
331,2,4509,PCA2E8463
332,2,4827,PC7D68CD9
333,4,4620,PC43973F9
334,2,4569,PC20129F9
335,4,4021,PC851E565
336,2,4838,PCEECD973
337,2,4732,PCD83DE25
338,4,4691,PCFAB001F
339,4,4536,PCC6C5CFB
340,2,4898,PC0AE9E1B
341,4,4267,PCE51C5C7
342,2,4066,PC883FCA9
343,4,4934,PC3ED26A2
344,2,5010,PC028872C
345,2,4325,PC8FC83B3
346,2,4887,PC81776BA
347,2,4996,PC6A4F55F
348,2,4974,PCDEB8E32
349,2,4927,PC2D22627
350,4,4091,PC2E099B4
351,2,4105,PC43919D1
352,2,4721,PCE937423
353,2,4908,PC3D16FC5
354,2,4733,PC797AEBF
355,2,4730,PC7DC0964
356,4,4491,PCA52F720
357,2,4827,PC7D68CD9
358,4,4902,PC425C6EC
359,4,4967,PC2AFCB31
360,2,4355,PC0EF761B
361,2,4252,PCA32686D
362,2,4669,PC36675CE
363,2,4051,PC3B970F2
364,2,4139,PC924C594
365,2,4470,PCB4FF8FA
366,2,4517,PC9AF321D
367,2,4175,PC08EA270
368,2,4995,PCBE6ABE5
369,2,4616,PCE6675F9
370,2,4124,PC3338D42
371,2,4133,PC30FC453
372,4,4687,PC52E7369
373,4,4190,PCDFC1E11
374,2,4670,PC2BE6D87
375,4,4368,PC909A324
376,2,4222,PC15EC378
377,2,4184,PC43A5E42
378,2,4446,PC7F1A5B9
379,2,4042,PC5D4DE09
380,2,4396,PCA00BC1C
381,2,4855,PC03C5C15
382,2,5004,PC2111CF9
383,2,4243,PCC4F7DCE
384,2,4080,PCBE7E15B
385,4,4468,PC040ADB3
386,2,4121,PCEC57A8E
387,4,4799,PCC3A370A
388,2,4748,PCF2ECD29
389,2,4693,PCB4CDDA5
390,2,4750,PCD987A9D
391,2,4165,PC0D2B95C
392,2,4384,PC59A33DE
393,2,4929,PC9E503B6
394,2,4394,PCD3A817A
395,2,4931,PC3D30AD0
396,2,4644,PC411FDC0
397,4,4023,PC77793DF
398,2,4534,PCAD9E1F9
399,2,4835,PC4645718
400,4,4280,PC03A5F23
401,4,4266,PC39B17A9
402,2,4540,PC5CAF0A7
403,2,5010,PC028872C
404,4,4048,PC1FE6483
405,4,4810,PC2CA4087
406,2,4147,PC4D2C5A7
407,2,4082,PCF86214E
408,4,4078,PC8473A64
409,2,4695,PC4A5D62F
410,2,4973,PC9C7C18E
411,2,4699,PC2C1B987
412,4,4136,PCA579A65
413,2,4106,PC9764C98
414,4,4468,PC040ADB3
415,2,4134,PC767BBB2
416,4,4422,PCF514246
417,2,4273,PC0EF5BA6
418,2,4892,PC7AA5B2F
419,2,4230,PC19CE0DB
420,4,4240,PC72FE04B
421,2,4342,PCE7F2748
422,2,4605,PCEB27C63
423,4,4188,PCDB12C82
424,2,4001,PC58105BF
425,2,4971,PC0BD172F
426,2,4456,PC8DFF744
427,2,4975,PC818101A
428,2,4643,PC6713209
429,2,4386,PC948D5B2
430,2,4671,PCCAAFB48
431,4,4785,PC787D664
432,2,4698,PC8BCEB19
433,2,4167,PC8453073
434,2,4917,PCD8C66B1
435,2,4409,PC44E2F09
436,4,4007,PCDF9F773
437,2,5008,PC48D61BB
438,2,4574,PCC1F6F13
439,4,4712,PC94168A2
440,2,4056,PC9FBBA67
441,2,4610,PCA4D3E9B
442,2,4558,PC575F591
443,2,4589,PC1477DC9
444,2,4581,PCC347465
445,4,4802,PCBDD55F1
446,2,4722,PC035B71E
447,2,4223,PCA37D114
448,2,4576,PC394C979
449,2,4128,PCC0E7E2A
450,4,4063,PC7667A3E
451,2,4475,PCCC0D001
452,2,4888,PC46C55B4
453,4,4986,PC9787B8A
454,2,4172,PC1A43FB7
455,4,4374,PCC321538
456,4,4027,PCE7A4F34
457,2,4072,PC69F3F14
458,2,4067,PC1CCD955
459,2,4596,PC6558A56
460,2,4729,PC5170BF4
461,2,4451,PCF95BF53
462,2,4419,PC99BB7A3
463,2,4920,PC42A3AB0
464,2,4991,PC5B5C16D
465,2,4622,PCF31BD97
466,2,4642,PC17D596F
467,2,4158,PCAA68777
468,2,4392,PCAF6E464
469,2,4091,PC2E099B4
470,4,4838,PCEECD973
471,2,4328,PC3777B8E
472,2,4038,PC77889B3
473,4,4129,PCA6127FF
474,2,4478,PCB02917E
475,2,4879,PCC90A061
476,2,4924,PCE3427C5
477,2,4215,PC4C76F48
478,4,4385,PC148C815
479,2,4585,PCF3AE602
480,4,4060,PC481C9F9
481,4,4839,PCA0290AD
482,2,4442,PC05C2F86
483,2,4183,PCF5E7754
484,2,4476,PC439FA2D
485,2,4753,PC6AA246E
486,2,4437,PCBE6CB59
487,2,4418,PCF6EECB2
488,2,4032,PC578F087
489,2,4835,PC4645718
490,2,4909,PCDED6F20
491,2,4036,PCE6CC50C
492,4,4096,PCFA4F864
493,2,4081,PCC825DB2
494,4,4573,PC4D8469D
495,4,4675,PCE49911B
496,2,4480,PC9A343F9
497,2,4293,PC2A27502
498,2,4749,PC65C93B7
499,2,4110,PCF891CEB
500,2,4569,PC20129F9
501,2,4656,PC63844BC
502,4,4983,PCC3E4ADA
503,4,4289,PCF621E92
504,4,4860,PCF4A2DA9
505,2,4130,PC9F22103
506,2,4199,PC7CCC47B
507,2,4138,PC79E328A
508,4,4234,PC5EBC1E1
509,2,4084,PC71D433F
510,2,4711,PC340B4DE
511,4,4499,PC1EEDA04
512,2,4709,PCC8C7059
513,2,4452,PC8C7C5D7
514,2,4519,PC92A6471
515,4,4420,PCFDB2950
516,2,4838,PCEECD973
517,2,4203,PC5295A46
518,4,4447,PC6B030C6
519,2,4159,PC5631507
520,4,4276,PC4E15B39
521,2,4037,PC0A50259
522,2,4332,PC3B258E9
523,4,4654,PCBA5D8AB
524,4,4787,PC1BDA119
525,2,4864,PC259547F
526,2,4689,PC89C35AD
527,2,4646,PC3F8C42B
528,4,4767,PC61F3A80
529,2,4596,PC6558A56
530,2,4616,PCE6675F9
531,2,4848,PCF0FC9B2
532,2,4747,PC5E524A1
533,2,4739,PC07289CF
534,2,4655,PCF9CAB22
535,2,4473,PC51FDD60
536,4,4445,PC796A888
537,2,4189,PC7655FC1
538,2,4206,PCAC34A40
539,2,4436,PC0CF9451
540,2,4658,PC1A58039
541,2,4755,PC628DCED
542,2,4173,PC0EB640E
543,2,4522,PC0A326BE
544,4,4856,PC7C042B7
545,2,4669,PC36675CE
546,2,4096,PCFA4F864
547,2,4383,PC4BFE950
548,2,4155,PC9042B3F
549,2,4402,PC85224D1
550,4,4904,PC36C6441
551,2,4282,PCCE002E5
552,2,4553,PC1D57D7F
553,2,4318,PCAD89FE3
554,2,4605,PCEB27C63
555,2,4622,PCF31BD97
556,2,4352,PC99B9343
557,2,4142,PC7ACFF7C
558,2,4739,PC07289CF
559,2,4575,PC84D9FC1
560,4,4538,PCDE5402C
561,4,4497,PC76FDDEA
562,2,4728,PC07BF95F
563,2,4881,PCDE20E6F
564,2,4855,PC03C5C15
565,4,4836,PCE78024A
566,4,4106,PC9764C98
567,4,4448,PC19F3DBB
568,2,4518,PCC7B407A
569,2,4506,PCB24B68E
570,2,4181,PC4457F74
571,2,4423,PCF9F4940
572,2,4379,PC87C8BC4
573,2,4427,PCD70DDDF
574,4,4985,PCCA71D2C
575,2,4494,PC1592ACA
576,2,4472,PC303DD56
577,2,4222,PC15EC378
578,4,4690,PC45CC19A
579,2,4447,PC6B030C6
580,4,4422,PCF514246
581,4,4225,PCC1ED0C5
582,2,4793,PCD8E3CCB
583,2,4502,PCB2CC82C
584,2,4324,PC9C3D708
585,2,4476,PC439FA2D
586,2,4525,PCF64B519
587,4,4048,PC1FE6483
588,4,4737,PCED7EAFE
589,2,4726,PCF6540C0
590,2,4371,PC7E22FD8
591,2,4188,PCDB12C82
592,2,4961,PC92C5115
593,2,4913,PC685427C
594,2,4071,PCDBBCB68
595,2,4127,PCA2D76A5
596,2,4207,PC76EDF79
597,2,4882,PC8616CD8
598,4,4000,PC69C7DF3
599,4,4906,PC3D58C5E
600,4,4196,PC4B8A835
601,2,4125,PC8AAEF51
602,2,4349,PC5AB6779
603,2,4197,PCE32ED40
604,2,4763,PCC62D342
605,2,4933,PC419F41D
606,2,4032,PC578F087
607,2,4706,PCD8D5094
608,2,4538,PCDE5402C
609,2,4384,PC59A33DE
610,2,4400,PC3BD7D63
611,2,4035,PC1B1D964
612,2,4709,PCC8C7059
613,2,4876,PCDFCFF53
614,2,4770,PC9082A17
615,2,4472,PC303DD56
616,2,4364,PCB33ACE8
617,2,4797,PCE2D63A7
618,2,4697,PCFDB2BA6
619,2,5006,PC7A260F1
620,2,4154,PC2C2EF9E
621,2,4678,PCD175301
622,2,4919,PC7A3A5CF
623,2,4030,PCA8A9AA8
624,2,4638,PCB7AC8AA
625,2,4810,PC2CA4087
626,2,4343,PC0F6325D
627,2,4427,PCD70DDDF
628,4,4434,PCA491459
629,2,4323,PC1D9ADA9
630,2,4260,PC1A4796C
631,2,4621,PC9FB4E82
632,2,4334,PCCB383F8
633,2,4507,PC11DCA73
634,4,4846,PCBABD060
635,2,4927,PC2D22627
636,2,4736,PC6A65941
637,4,4793,PCD8E3CCB
638,2,4453,PC5EC8DF5
639,2,4875,PC40FC710
640,2,4435,PC3E78C17
641,2,4254,PC0C0EE22
642,2,4664,PC52D063A
643,2,4876,PCDFCFF53
644,2,4270,PC8F72158
645,2,4003,PC83F544D
646,2,4490,PC89C1789
647,4,4872,PC5B45CE7
648,2,4358,PC32FB72C
649,2,4596,PC6558A56
650,2,4519,PC92A6471
651,2,4470,PCB4FF8FA
652,2,4550,PC21A1833
653,2,4266,PC39B17A9
654,2,4895,PC37F171A
655,4,4711,PC340B4DE
656,2,4997,PC8111910
657,4,4131,PC4C9B108
658,2,4809,PCAD363FC
659,2,4908,PC3D16FC5
660,2,4369,PCD5CBB82
661,2,4226,PCDC5C9E2
662,2,4273,PC0EF5BA6
663,2,4183,PCF5E7754
664,2,4123,PCDE850D8
665,2,4879,PCC90A061
666,2,4258,PCAC64E67
667,2,4061,PC3A63A79
668,4,4369,PCD5CBB82
669,2,4223,PCA37D114
670,2,4010,PC3A7AACB
671,2,4502,PCB2CC82C
672,4,4114,PC4CD2B81
673,2,4489,PCEFF6088
674,2,4370,PC70B7987
675,4,4951,PCE9CE23F
676,4,4231,PC016D687
677,2,4172,PC1A43FB7
678,4,4330,PCBD023A3
679,4,4218,PC8DF4919
680,2,4541,PCC6A4CD8
681,2,4297,PCDE89544
682,2,4920,PC42A3AB0
683,2,4797,PCE2D63A7
684,2,4267,PCE51C5C7
685,4,4741,PC85A4D4B
686,2,4371,PC7E22FD8
687,2,4892,PC7AA5B2F
688,2,4383,PC4BFE950
689,2,4951,PCE9CE23F
690,2,4442,PC05C2F86
691,2,4694,PCBCF42C2
692,4,4194,PC96AD1EB
693,2,4872,PC5B45CE7
694,2,4194,PC96AD1EB
695,4,4282,PCCE002E5
696,4,4202,PC65AA714
697,2,4067,PC1CCD955
698,2,4405,PC70CA955
699,2,4822,PCD1EB220
700,2,4100,PCC6DD8D5
701,2,4362,PC670999C
702,4,4655,PCF9CAB22
703,4,4206,PCAC34A40
704,2,4909,PCDED6F20
705,2,4635,PC3C8B99E
706,2,4378,PC074E6A8
707,2,4808,PC2729737
708,4,4302,PCBA83119
709,2,4221,PC90AAFDA
710,2,4387,PCE2B9376
711,2,4904,PC36C6441
712,2,4465,PCA227C6B
713,2,4863,PCA8F9E50
714,4,4965,PCA0BAE0F
715,4,4412,PC821BC98
716,4,4861,PC670F1AC
717,4,4420,PCFDB2950
718,2,4026,PC2CE9851
719,2,4108,PC7C55512
720,2,4123,PCDE850D8
721,2,4313,PC6D0FC31
722,2,4936,PC7157CF3
723,4,4631,PCFFF6463
724,4,4326,PC356AE8F
725,2,4030,PCA8A9AA8
726,4,4654,PCBA5D8AB
727,2,4519,PC92A6471
728,2,4544,PC1893678
729,4,4671,PCCAAFB48
730,4,4354,PC0671DD4
731,4,4989,PC7D7AE48
732,4,4155,PC9042B3F
733,2,4801,PC119E3A6
734,2,4570,PCAE45EC0
735,2,4134,PC767BBB2
736,2,4071,PCDBBCB68
737,2,4183,PCF5E7754
738,4,4099,PC97F19B1
739,4,4153,PC88C655C
740,4,4219,PC40E6113
741,2,4786,PCB7F1F8A
742,2,4149,PC99F9ABD
743,4,4967,PC2AFCB31
744,2,4574,PCC1F6F13
745,2,4506,PCB24B68E
746,2,4532,PC8DD921E
747,4,4624,PCDF73A3C
748,2,4219,PC40E6113
749,2,5003,PCAC9371E
750,4,4209,PC494D54E
751,4,4736,PC6A65941
752,2,4733,PC797AEBF
753,2,4387,PCE2B9376
754,4,4303,PC2E2E0C0
755,2,4720,PCDD23528
756,2,4661,PC1585DF2
757,2,4539,PC684859B
758,4,4373,PC8806694
759,4,4303,PC2E2E0C0
760,2,4405,PC70CA955
761,2,4396,PCA00BC1C
762,2,4894,PCDADB8C6
763,2,4712,PC94168A2
764,4,4953,PC1E2B07E
765,2,4256,PC9DD0BBD
766,4,4575,PC84D9FC1
767,4,4585,PCF3AE602
768,2,4631,PCFFF6463
769,2,4798,PC17F8052
770,2,4421,PCED2DB6F
771,2,4911,PCBEF8EE1
772,2,4062,PCDA37101
773,4,4628,PC34C1DCB
774,2,4698,PC8BCEB19
775,4,4249,PC6D2FAD0
776,2,4958,PC8A8976A
777,2,4282,PCCE002E5
778,2,4182,PC5EBB0FA
779,4,4727,PC52E71B8
780,2,4326,PC356AE8F
781,2,4462,PCE29AA1A
782,2,4671,PCCAAFB48
783,2,4627,PCA965149
784,2,4749,PC65C93B7
785,4,4015,PC524833E
786,2,4643,PC6713209
787,2,4130,PC9F22103
788,4,4209,PC494D54E
789,4,4257,PC1AB9C93
790,2,4097,PCB1B5BEC
791,2,4882,PC8616CD8
792,2,4556,PC18C31F6
793,4,4130,PC9F22103
794,2,4198,PCB0994D1
795,4,4373,PC8806694
796,2,4836,PCE78024A
797,2,4769,PC10C50DC
798,2,4370,PC70B7987
799,2,4959,PC4A7B00C
800,2,4746,PC0514825
801,2,4548,PC4486317
802,2,4474,PCFEAE55E
803,4,4259,PCBB65EF4
804,2,4064,PC0B32B5B
805,2,4889,PC3547FAD
806,4,4263,PCD6DBA1D
807,2,4595,PC64281F6
808,4,4423,PCF9F4940
809,2,4673,PC66E7418
810,2,4314,PC7E9E8F3
811,4,4446,PC7F1A5B9
812,2,4750,PCD987A9D
813,2,4909,PCDED6F20
814,2,4693,PCB4CDDA5
815,4,4748,PCF2ECD29
816,2,4595,PC64281F6
817,2,4900,PCFE8B604
818,4,4319,PCAD79413
819,4,4749,PC65C93B7
820,2,4650,PC544AE70
821,2,4628,PC34C1DCB
822,2,4307,PC87D90FE
823,2,4699,PC2C1B987
824,2,4289,PCF621E92
825,2,4427,PCD70DDDF
826,2,4543,PC74F5EBA
827,2,4260,PC1A4796C
828,4,4227,PCD8346A6
829,2,4491,PCA52F720
830,2,4207,PC76EDF79
831,2,4595,PC64281F6
832,2,4146,PCF91266E
833,2,4947,PCE4A44BE
834,2,4350,PCEDD7E85
835,4,4585,PCF3AE602
836,2,4741,PC85A4D4B
837,2,4065,PC3B514E2
838,4,4936,PC7157CF3
839,4,4340,PC3A6DBC9
840,2,4323,PC1D9ADA9
841,2,4246,PC95F5F6B
842,2,4729,PC5170BF4
843,4,4848,PCF0FC9B2
844,4,4745,PC6397888
845,2,4115,PCF5D4B0A
846,4,4256,PC9DD0BBD
847,4,4477,PCA857A23
848,2,4162,PC51A39A7
849,2,4812,PC22D9C6D
850,2,4070,PCEECA8B2
851,2,4548,PC4486317
852,4,4394,PCD3A817A
853,2,4944,PC41EEC34
854,4,4091,PC2E099B4
855,2,4229,PCD0DDD3D
856,4,4587,PC576A3BA
857,2,4657,PCC591410
858,4,4347,PC3EC1FDF
859,2,4588,PC3172195
860,2,4847,PCD546332
861,2,4490,PC89C1789
862,2,4651,PC12D9486
863,2,4667,PCD540B2F
864,2,4064,PC0B32B5B
865,2,4932,PC46C4A27
866,2,4149,PC99F9ABD
867,2,4639,PC879E7AB
868,2,4698,PC8BCEB19
869,2,4939,PCF263A5E
870,2,4231,PC016D687
871,2,4683,PC96978C6
872,2,4794,PC4E1366E
873,4,4632,PCC1FFE5B
874,4,4242,PCECC4DE2
875,2,4424,PC51E7EF8
876,2,4301,PC540E129
877,2,4681,PCBEB4D23
878,2,4847,PCD546332
879,2,4488,PC19D06B0
880,2,4762,PC1A3D20B
881,2,4600,PCB99E8F9
882,2,4930,PC22F748B
883,2,4912,PC526B1EC
884,2,4487,PCA92F2BD
885,4,4990,PCFE28E92
886,2,4898,PC0AE9E1B
887,2,4560,PC5030572
888,2,4057,PC4B0DCD2
889,2,4308,PC94E7A96
890,2,4677,PCA9D6EEE
891,2,4674,PC795E7B9
892,2,4269,PCC7106FF
893,2,4820,PCC30C735
894,2,4350,PCEDD7E85
895,2,4031,PC0214185
896,2,4420,PCFDB2950
897,2,4123,PCDE850D8
898,2,4127,PCA2D76A5
899,2,4886,PC4D892D7
900,2,4443,PCC139BD8
901,4,4142,PC7ACFF7C
902,4,4904,PC36C6441
903,2,4841,PCE45DE8D
904,2,4253,PC82A16E6
905,2,4737,PCED7EAFE
906,2,4486,PC3AF69A3
907,2,4112,PCEA652A8
908,2,5005,PC408264D
909,4,4313,PC6D0FC31
910,4,4362,PC670999C
911,2,4047,PC6D105CF
912,4,4400,PC3BD7D63
913,2,4306,PC5D6563A
914,2,4688,PCCB4C86D
915,2,5007,PC869BDE8
916,2,4030,PCA8A9AA8
917,2,4007,PCDF9F773
918,2,4632,PCC1FFE5B
919,2,4888,PC46C55B4
920,2,4988,PC46BE0B2
921,4,4142,PC7ACFF7C
922,4,4784,PCDB42B34
923,2,4240,PC72FE04B
924,4,4283,PC953B572
