Rowid,Payment_type,Vehicle_code
322,PTP,VC965
323,PTE,VCB43
324,PTC,VC965
325,PTC,VC965
326,PTP,VC965
327,PTP,VCB43
328,PTP,VCB43
329,PTP,VC965
330,PTE,VCB43
331,PTP,VC965
332,PTP,VC965
333,PTC,VCB43
334,PTC,VC965
335,PTE,VCB43
336,PTC,VC965
337,PTP,VC965
338,PTC,VCB43
339,PTC,VCB43
340,PTE,VC965
341,PTP,VCB43
342,PTC,VCD2F
343,PTC,VCB43
344,PTE,VC965
345,PTP,VC965
346,PTE,VC965
347,PTP,VC965
348,PTE,VCD2F
349,PTE,VC965
350,PTP,VCB43
351,PTP,VC965
352,PTC,VC965
353,PTP,VC965
354,PTP,VC965
355,PTE,VC965
356,PTP,VCB43
357,PTC,VC965
358,PTE,VCB43
359,PTC,VCB43
360,PTP,VC965
361,PTE,VC965
362,PTC,VC965
363,PTC,VC965
364,PTE,VC965
365,PTE,VC965
366,PTC,VC965
367,PTP,VC965
368,PTP,VC965
369,PTC,VC965
370,PTC,VC965
371,PTP,VC965
372,PTE,VCB43
373,PTE,VCB43
374,PTC,VC965
375,PTC,VCB43
376,PTP,VCD2F
377,PTP,VC965
378,PTC,VC965
379,PTC,VC965
380,PTE,VCD2F
381,PTC,VC965
382,PTP,VC965
383,PTP,VC965
384,PTP,VC965
385,PTP,VCB43
386,PTP,VC965
387,PTP,VCB43
388,PTC,VC965
389,PTC,VC965
390,PTE,VC965
391,PTC,VC965
392,PTC,VC965
393,PTC,VC965
394,PTP,VC965
395,PTE,VC965
396,PTC,VCD2F
397,PTE,VCB43
398,PTC,VC965
399,PTP,VC965
400,PTE,VCB43
401,PTC,VCB43
402,PTE,VC965
403,PTC,VC965
404,PTP,VCB43
405,PTC,VCB43
406,PTE,VC965
407,PTP,VC965
408,PTC,VCB43
409,PTE,VC965
410,PTE,VC965
411,PTC,VC965
412,PTE,VCB43
413,PTP,VC965
414,PTP,VCB43
415,PTC,VC965
416,PTE,VCB43
417,PTE,VC965
418,PTE,VC965
419,PTC,VC965
420,PTP,VCB43
421,PTP,VC965
422,PTE,VC965
423,PTP,VCB43
424,PTC,VC965
425,PTP,VC965
426,PTE,VC965
427,PTP,VC965
428,PTP,VC965
429,PTC,VC965
430,PTE,VC965
431,PTP,VCB43
432,PTE,VC965
433,PTP,VC965
434,PTE,VC965
435,PTP,VC965
436,PTE,VCB43
437,PTP,VC965
438,PTE,VC965
439,PTP,VCB43
440,PTP,VC965
441,PTP,VCD2F
442,PTE,VC965
443,PTP,VC965
444,PTE,VC965
445,PTE,VCB43
446,PTP,VC965
447,PTE,VC965
448,PTE,VC965
449,PTE,VC965
450,PTP,VCB43
451,PTE,VC965
452,PTP,VC965
453,PTP,VCB43
454,PTP,VC965
455,PTE,VCB43
456,PTC,VCB43
457,PTC,VCD2F
458,PTE,VC965
459,PTP,VC965
460,PTE,VC965
461,PTE,VC965
462,PTE,VC965
463,PTE,VC965
464,PTE,VC965
465,PTE,VCD2F
466,PTE,VC965
467,PTP,VC965
468,PTE,VC965
469,PTE,VCD2F
470,PTP,VCB43
471,PTP,VC965
472,PTP,VC965
473,PTP,VCB43
474,PTP,VC965
475,PTP,VC965
476,PTP,VCD2F
477,PTE,VC965
478,PTC,VCB43
479,PTC,VC965
480,PTE,VCB43
481,PTC,VCB43
482,PTP,VC965
483,PTC,VC965
484,PTP,VC965
485,PTP,VCD2F
486,PTP,VC965
487,PTE,VC965
488,PTP,VC965
489,PTE,VC965
490,PTE,VCD2F
491,PTC,VC965
492,PTE,VCB43
493,PTE,VC965
494,PTE,VCB43
495,PTC,VCB43
496,PTC,VC965
497,PTE,VC965
498,PTP,VC965
499,PTP,VCD2F
500,PTP,VC965
501,PTC,VC965
502,PTC,VCB43
503,PTP,VCB43
504,PTC,VCB43
505,PTP,VC965
506,PTE,VC965
507,PTC,VC965
508,PTE,VCB43
509,PTE,VCD2F
510,PTE,VC965
511,PTP,VCB43
512,PTE,VC965
513,PTC,VC965
514,PTP,VC965
515,PTP,VCB43
516,PTP,VC965
517,PTP,VC965
518,PTE,VCB43
519,PTC,VC965
520,PTP,VCB43
521,PTE,VC965
522,PTP,VC965
523,PTE,VCB43
524,PTC,VCB43
525,PTC,VC965
526,PTC,VC965
527,PTC,VC965
528,PTE,VCB43
529,PTP,VC965
530,PTC,VC965
531,PTE,VC965
532,PTE,VC965
533,PTP,VC965
534,PTE,VC965
535,PTC,VCD2F
536,PTC,VCB43
537,PTP,VCD2F
538,PTP,VC965
539,PTP,VC965
540,PTP,VC965
541,PTP,VC965
542,PTC,VC965
543,PTP,VC965
544,PTE,VCB43
545,PTP,VC965
546,PTP,VC965
547,PTC,VC965
548,PTE,VC965
549,PTE,VC965
550,PTP,VCB43
551,PTP,VC965
552,PTE,VCD2F
553,PTP,VC965
554,PTC,VC965
555,PTP,VC965
556,PTC,VC965
557,PTE,VCD2F
558,PTP,VC965
559,PTE,VC965
560,PTE,VCB43
561,PTE,VCB43
562,PTE,VCD2F
563,PTP,VC965
564,PTE,VC965
565,PTP,VCB43
566,PTP,VCB43
567,PTP,VCB43
568,PTP,VC965
569,PTP,VCD2F
570,PTP,VC965
571,PTC,VC965
572,PTE,VC965
573,PTP,VC965
574,PTE,VCB43
575,PTP,VC965
576,PTP,VC965
577,PTC,VC965
578,PTP,VCB43
579,PTE,VC965
580,PTP,VCB43
581,PTP,VCB43
582,PTE,VC965
583,PTP,VC965
584,PTC,VCD2F
585,PTE,VCD2F
586,PTE,VC965
587,PTC,VCB43
588,PTP,VCB43
589,PTE,VC965
590,PTC,VC965
591,PTC,VC965
592,PTP,VC965
593,PTC,VC965
594,PTP,VCD2F
595,PTP,VC965
596,PTC,VC965
597,PTC,VCD2F
598,PTC,VCB43
599,PTE,VCB43
600,PTP,VCB43
601,PTC,VC965
602,PTC,VC965
603,PTP,VC965
604,PTE,VC965
605,PTC,VCD2F
606,PTC,VC965
607,PTC,VCD2F
608,PTP,VC965
609,PTC,VCD2F
610,PTP,VC965
611,PTC,VCD2F
612,PTC,VC965
613,PTP,VCD2F
614,PTE,VC965
615,PTP,VC965
616,PTE,VCD2F
617,PTP,VC965
618,PTC,VC965
619,PTC,VC965
620,PTE,VC965
621,PTP,VCD2F
622,PTP,VC965
623,PTP,VC965
624,PTC,VC965
625,PTE,VC965
626,PTC,VC965
627,PTC,VC965
628,PTE,VCB43
629,PTE,VC965
630,PTP,VC965
631,PTE,VC965
632,PTE,VC965
633,PTP,VC965
634,PTC,VCB43
635,PTP,VC965
636,PTC,VCD2F
637,PTE,VCB43
638,PTC,VC965
639,PTC,VCD2F
640,PTE,VC965
641,PTP,VC965
642,PTE,VC965
643,PTE,VC965
644,PTC,VC965
645,PTE,VC965
646,PTE,VC965
647,PTC,VCB43
648,PTE,VC965
649,PTE,VC965
650,PTC,VC965
651,PTC,VC965
652,PTC,VCD2F
653,PTC,VC965
654,PTP,VC965
655,PTE,VCB43
656,PTP,VC965
657,PTE,VCB43
658,PTC,VC965
659,PTC,VC965
660,PTE,VC965
661,PTE,VC965
662,PTP,VC965
663,PTC,VC965
664,PTE,VC965
665,PTE,VC965
666,PTC,VC965
667,PTC,VC965
668,PTC,VCB43
669,PTP,VC965
670,PTE,VCD2F
671,PTC,VC965
672,PTC,VCB43
673,PTC,VC965
674,PTP,VC965
675,PTC,VCB43
676,PTC,VCB43
677,PTC,VCD2F
678,PTE,VCB43
679,PTE,VCB43
680,PTE,VCD2F
681,PTP,VC965
682,PTE,VC965
683,PTE,VC965
684,PTE,VC965
685,PTP,VCB43
686,PTC,VC965
687,PTC,VC965
688,PTC,VC965
689,PTP,VC965
690,PTC,VCD2F
691,PTE,VC965
692,PTP,VCB43
693,PTP,VCD2F
694,PTE,VC965
695,PTE,VCB43
696,PTE,VCB43
697,PTP,VCD2F
698,PTE,VC965
699,PTP,VC965
700,PTE,VC965
701,PTC,VC965
702,PTP,VCB43
703,PTC,VCB43
704,PTC,VC965
705,PTP,VC965
706,PTE,VC965
707,PTE,VC965
708,PTP,VCB43
709,PTC,VC965
710,PTC,VC965
711,PTC,VC965
712,PTP,VC965
713,PTC,VCD2F
714,PTP,VCB43
715,PTP,VCB43
716,PTC,VCB43
717,PTP,VCB43
718,PTP,VC965
719,PTC,VC965
720,PTP,VC965
721,PTE,VCD2F
722,PTP,VC965
723,PTP,VCB43
724,PTP,VCB43
725,PTE,VC965
726,PTP,VCB43
727,PTP,VC965
728,PTC,VCD2F
729,PTP,VCB43
730,PTC,VCB43
731,PTP,VCB43
732,PTP,VCB43
733,PTE,VC965
734,PTP,VCD2F
735,PTC,VC965
736,PTC,VC965
737,PTE,VC965
738,PTP,VCB43
739,PTE,VCB43
740,PTC,VCB43
741,PTC,VC965
742,PTE,VC965
743,PTC,VCB43
744,PTP,VC965
745,PTC,VC965
746,PTC,VC965
747,PTE,VCB43
748,PTC,VC965
749,PTC,VC965
750,PTP,VCB43
751,PTE,VCB43
752,PTC,VCD2F
753,PTE,VCD2F
754,PTC,VCB43
755,PTE,VCD2F
756,PTC,VC965
757,PTP,VC965
758,PTE,VCB43
759,PTC,VCB43
760,PTE,VC965
761,PTC,VC965
762,PTP,VC965
763,PTC,VC965
764,PTP,VCB43
765,PTP,VC965
766,PTP,VCB43
767,PTE,VCB43
768,PTC,VCD2F
769,PTC,VC965
770,PTC,VC965
771,PTP,VCD2F
772,PTC,VCD2F
773,PTP,VCB43
774,PTE,VC965
775,PTE,VCB43
776,PTE,VC965
777,PTE,VC965
778,PTC,VC965
779,PTP,VCB43
780,PTC,VC965
781,PTP,VC965
782,PTP,VC965
783,PTP,VCD2F
784,PTP,VC965
785,PTP,VCB43
786,PTP,VC965
787,PTP,VC965
788,PTC,VCB43
789,PTP,VCB43
790,PTC,VC965
791,PTE,VC965
792,PTP,VC965
793,PTE,VCB43
794,PTP,VCD2F
795,PTP,VCB43
796,PTC,VCD2F
797,PTP,VC965
798,PTC,VC965
799,PTC,VC965
800,PTC,VC965
801,PTC,VC965
802,PTP,VC965
803,PTC,VCB43
804,PTP,VC965
805,PTP,VC965
806,PTC,VCB43
807,PTC,VC965
808,PTE,VCB43
809,PTP,VC965
810,PTE,VC965
811,PTE,VCB43
812,PTP,VC965
813,PTE,VC965
814,PTE,VC965
815,PTP,VCB43
816,PTP,VC965
817,PTC,VCD2F
818,PTE,VCB43
819,PTC,VCB43
820,PTP,VC965
821,PTC,VC965
822,PTE,VC965
823,PTP,VC965
824,PTE,VC965
825,PTC,VC965
826,PTP,VC965
827,PTP,VC965
828,PTC,VCB43
829,PTE,VC965
830,PTC,VC965
831,PTE,VC965
832,PTC,VCD2F
833,PTC,VC965
834,PTP,VC965
835,PTP,VCB43
836,PTC,VC965
837,PTC,VC965
838,PTC,VCB43
839,PTE,VCB43
840,PTP,VCD2F
841,PTP,VC965
842,PTE,VC965
843,PTC,VCB43
844,PTE,VCB43
845,PTE,VC965
846,PTC,VCB43
847,PTP,VCB43
848,PTE,VC965
849,PTC,VCD2F
850,PTP,VC965
851,PTE,VCD2F
852,PTE,VCB43
853,PTC,VC965
854,PTE,VCB43
855,PTP,VC965
856,PTE,VCB43
857,PTP,VC965
858,PTE,VCB43
859,PTP,VC965
860,PTP,VCD2F
861,PTE,VC965
862,PTP,VC965
863,PTP,VC965
864,PTE,VCD2F
865,PTP,VC965
866,PTP,VC965
867,PTP,VC965
868,PTC,VC965
869,PTC,VC965
870,PTE,VC965
871,PTC,VC965
872,PTC,VC965
873,PTE,VCB43
874,PTE,VCB43
875,PTE,VC965
876,PTC,VC965
877,PTC,VCD2F
878,PTE,VC965
879,PTP,VCD2F
880,PTC,VC965
881,PTP,VC965
882,PTE,VC965
883,PTP,VC965
884,PTC,VC965
885,PTE,VCB43
886,PTC,VC965
887,PTC,VC965
888,PTE,VC965
889,PTC,VCD2F
890,PTC,VC965
891,PTC,VC965
892,PTC,VC965
893,PTC,VCD2F
894,PTE,VCD2F
895,PTE,VC965
896,PTE,VCD2F
897,PTE,VC965
898,PTP,VC965
899,PTP,VC965
900,PTP,VC965
901,PTE,VCB43
902,PTE,VCB43
903,PTC,VC965
904,PTC,VC965
905,PTP,VC965
906,PTC,VC965
907,PTP,VC965
908,PTC,VC965
909,PTE,VCB43
910,PTE,VCB43
911,PTE,VC965
912,PTP,VCB43
913,PTE,VC965
914,PTE,VC965
915,PTP,VC965
916,PTE,VCD2F
917,PTE,VCD2F
918,PTE,VC965
919,PTC,VC965
920,PTP,VC965
921,PTP,VCB43
922,PTE,VCB43
923,PTE,VC965
924,PTC,VCB43
925,PTP,VC965
926,PTP,VC965
927,PTC,VC965
928,PTC,VC965
929,PTE,VCB43
930,PTE,VCD2F
931,PTP,VCB43
932,PTE,VC965
933,PTE,VCB43
934,PTE,VCD2F
935,PTP,VC965
936,PTP,VC965
937,PTP,VC965
938,PTE,VC965
939,PTP,VC965
940,PTE,VCB43
941,PTE,VCB43
942,PTE,VCB43
943,PTC,VC965
944,PTE,VCD2F
945,PTC,VC965
946,PTE,VCB43
947,PTC,VC965
948,PTP,VC965
949,PTE,VCD2F
950,PTP,VC965
951,PTE,VC965
952,PTC,VC965
953,PTC,VC965
954,PTE,VC965
955,PTC,VC965
956,PTP,VC965
957,PTC,VC965
958,PTE,VC965
959,PTC,VC965
960,PTC,VC965
961,PTC,VC965
962,PTC,VC965
963,PTP,VCB43
964,PTC,VCB43
965,PTE,VC965
966,PTE,VCB43
967,PTE,VC965
968,PTE,VC965
969,PTC,VCD2F
970,PTE,VCD2F
971,PTC,VCB43
972,PTP,VCB43
973,PTC,VC965
974,PTP,VCB43
975,PTE,VC965
976,PTP,VC965
977,PTC,VC965
978,PTC,VCB43
979,PTC,VCB43
980,PTC,VC965
981,PTC,VCB43
982,PTC,VCD2F
983,PTP,VCB43
984,PTP,VC965
985,PTC,VC965
986,PTC,VC965
987,PTP,VC965
988,PTP,VC965
989,PTE,VC965
990,PTC,VC965
991,PTE,VCB43
992,PTE,VCB43
993,PTP,VCB43
994,PTP,VC965
995,PTP,VCD2F
996,PTC,VC965
997,PTP,VCD2F
998,PTE,VC965
999,PTC,VC965
1000,PTC,VC965
1001,PTE,VC965
1002,PTC,VCB43
1003,PTC,VC965
1004,PTC,VC965
1005,PTC,VC965
1006,PTP,VCD2F
1007,PTE,VC965
1008,PTE,VCB43
1009,PTC,VC965
1010,PTE,VCD2F
1011,PTC,VCB43
1012,PTC,VCB43
1013,PTP,VC965
1014,PTE,VC965
1015,PTE,VC965
1016,PTP,VCB43
1017,PTP,VCB43
1018,PTP,VC965
1019,PTP,VC965
1020,PTE,VC965
1021,PTE,VC965
1022,PTP,VCB43
1023,PTE,VC965
1024,PTP,VCB43
1025,PTE,VC965
1026,PTC,VCD2F
1027,PTP,VC965
1028,PTC,VCB43
1029,PTE,VCB43
1030,PTC,VC965
1031,PTC,VC965
1032,PTC,VCB43
1033,PTE,VC965
1034,PTC,VCB43
1035,PTP,VC965
1036,PTE,VC965
1037,PTE,VC965
1038,PTE,VC965
1039,PTE,VC965
1040,PTP,VC965
1041,PTC,VCD2F
1042,PTC,VC965
1043,PTC,VC965
1044,PTE,VC965
1045,PTE,VC965
1046,PTC,VC965
1047,PTC,VC965
1048,PTP,VCD2F
1049,PTP,VC965
1050,PTC,VCB43
1051,PTP,VC965
1052,PTC,VC965
1053,PTE,VC965
1054,PTE,VCD2F
1055,PTC,VCD2F
1056,PTC,VC965
1057,PTE,VC965
1058,PTC,VCD2F
1059,PTC,VCB43
1060,PTE,VCB43
1061,PTP,VC965
1062,PTE,VCD2F
1063,PTP,VC965
1064,PTP,VC965
1065,PTC,VCB43
1066,PTE,VC965
1067,PTE,VC965
1068,PTE,VC965
1069,PTC,VCD2F
1070,PTP,VC965
1071,PTP,VC965
1072,PTE,VCB43
1073,PTP,VCD2F
1074,PTP,VCB43
1075,PTC,VCB43
1076,PTP,VC965
1077,PTC,VC965
1078,PTE,VC965
1079,PTP,VCB43
1080,PTC,VCD2F
1081,PTP,VCB43
1082,PTC,VC965
1083,PTE,VC965
1084,PTP,VCB43
1085,PTC,VC965
1086,PTC,VC965
1087,PTP,VC965
1088,PTC,VC965
1089,PTC,VCD2F
1090,PTC,VC965
1091,PTC,VCB43
1092,PTP,VC965
1093,PTE,VCD2F
1094,PTE,VCB43
1095,PTP,VCD2F
1096,PTP,VC965
1097,PTP,VC965
1098,PTP,VC965
1099,PTP,VCB43
1100,PTC,VCB43
1101,PTP,VC965
1102,PTC,VC965
1103,PTC,VC965
1104,PTC,VC965
1105,PTP,VCD2F
1106,PTC,VC965
1107,PTP,VC965
1108,PTP,VC965
1109,PTC,VCB43
1110,PTP,VC965
1111,PTE,VC965
1112,PTP,VCB43
1113,PTC,VC965
1114,PTC,VCB43
1115,PTP,VC965
1116,PTC,VCD2F
1117,PTP,VCB43
1118,PTC,VCD2F
1119,PTC,VC965
1120,PTC,VCD2F
1121,PTP,VC965
1122,PTE,VC965
1123,PTE,VCB43
1124,PTP,VCB43
1125,PTC,VCD2F
1126,PTC,VCB43
1127,PTP,VC965
1128,PTP,VC965
1129,PTE,VCD2F
1130,PTE,VC965
1131,PTC,VC965
1132,PTE,VC965
1133,PTC,VCB43
1134,PTP,VC965
1135,PTC,VCB43
1136,PTP,VCD2F
1137,PTP,VC965
1138,PTE,VC965
1139,PTC,VCB43
1140,PTE,VCB43
1141,PTP,VC965
1142,PTE,VCB43
1143,PTC,VC965
1144,PTE,VCD2F
1145,PTE,VCB43
1146,PTC,VCB43
1147,PTP,VC965
1148,PTC,VC965
1149,PTC,VCD2F
1150,PTC,VC965
1151,PTP,VC965
1152,PTP,VCD2F
1153,PTP,VCB43
1154,PTC,VC965
1155,PTP,VC965
1156,PTC,VC965
1157,PTE,VC965
1158,PTP,VCB43
1159,PTC,VCB43
1160,PTP,VCD2F
1161,PTC,VC965
1162,PTP,VC965
1163,PTC,VCD2F
1164,PTE,VC965
1165,PTP,VCD2F
1166,PTP,VCB43
1167,PTC,VCD2F
1168,PTP,VCB43
1169,PTE,VCB43
1170,PTE,VCB43
1171,PTC,VC965
1172,PTE,VCD2F
1173,PTE,VCB43
1174,PTE,VC965
1175,PTE,VCB43
1176,PTE,VC965
1177,PTP,VCB43
1178,PTC,VC965
1179,PTC,VC965
1180,PTC,VC965
1181,PTP,VC965
1182,PTP,VC965
1183,PTE,VCB43
1184,PTC,VC965
1185,PTC,VC965
1186,PTP,VC965
1187,PTP,VC965
1188,PTE,VC965
1189,PTP,VCB43
1190,PTP,VCB43
1191,PTE,VC965
1192,PTP,VCB43
1193,PTP,VCD2F
1194,PTP,VCB43
1195,PTE,VC965
1196,PTC,VC965
1197,PTP,VCB43
1198,PTE,VC965
1199,PTP,VC965
1200,PTC,VC965
1201,PTE,VCB43
1202,PTC,VC965
1203,PTC,VCB43
1204,PTE,VCB43
1205,PTP,VC965
1206,PTP,VCD2F
1207,PTC,VC965
1208,PTC,VC965
1209,PTE,VC965
1210,PTC,VCB43
1211,PTC,VCB43
1212,PTP,VC965
1213,PTC,VC965
1214,PTE,VCB43
1215,PTP,VC965
1216,PTP,VC965
1217,PTE,VCD2F
1218,PTP,VC965
1219,PTC,VCD2F
1220,PTE,VCB43
1221,PTC,VCB43
1222,PTP,VC965
1223,PTP,VCB43
1224,PTE,VCD2F
1225,PTE,VC965
1226,PTP,VC965
1227,PTP,VC965
1228,PTP,VC965
1229,PTP,VCB43
1230,PTP,VC965
1231,PTP,VC965
1232,PTE,VCB43
1233,PTC,VC965
1234,PTP,VC965
1235,PTP,VC965
1236,PTP,VC965
1237,PTP,VC965
1238,PTE,VCB43
1239,PTC,VC965
1240,PTP,VC965
1241,PTE,VC965
1242,PTP,VC965
1243,PTE,VCB43
1244,PTE,VC965
1245,PTC,VC965
1246,PTE,VC965
1247,PTP,VC965
1248,PTC,VC965
1249,PTC,VC965
1250,PTC,VC965
1251,PTE,VCB43
1252,PTC,VCB43
1253,PTE,VCD2F
1254,PTP,VC965
1255,PTP,VCD2F
1256,PTP,VC965
1257,PTE,VC965
1258,PTP,VCB43
1259,PTP,VCD2F
1260,PTP,VC965
1261,PTC,VCD2F
1262,PTE,VC965
1263,PTP,VCB43
1264,PTC,VCD2F
1265,PTE,VC965
1266,PTE,VC965
1267,PTC,VCD2F
1268,PTE,VCB43
1269,PTC,VCB43
1270,PTC,VCB43
1271,PTE,VC965
1272,PTP,VCD2F
1273,PTE,VC965
1274,PTE,VCB43
1275,PTC,VC965
1276,PTP,VC965
1277,PTP,VC965
1278,PTC,VC965
1279,PTP,VCB43
1280,PTP,VC965
1281,PTC,VC965
1282,PTC,VCD2F
1283,PTE,VC965
1284,PTE,VC965
1285,PTE,VC965
1286,PTE,VCD2F
1287,PTC,VC965
1288,PTP,VC965
1289,PTP,VC965
1290,PTE,VC965
1291,PTP,VC965
1292,PTC,VCB43
1293,PTP,VC965
1294,PTC,VC965
1295,PTC,VC965
1296,PTC,VCD2F
1297,PTE,VC965
1298,PTP,VCB43
1299,PTE,VC965
1300,PTP,VC965
1301,PTC,VCB43
